"Name","Created","Runtime","End Time","ID","Notes","Updated","Tags","learning_rate","margin","avg_train_loss","batch_loss","final_avg_relevant_per_query","final_ndcg_1","final_ndcg_10","final_ndcg_10_std","final_ndcg_5","final_total_relevant_docs","gpu_memory_allocated","gpu_memory_reserved","val_ndcg_10"
"solar-sweep-1","2025-06-19T11:10:19.000Z","1251","2025-06-19T11:31:10.000Z","52wqy0ht","-","2025-06-19T11:31:10.000Z","","0.0001","0.3","0.005281468121601003","0.004734373185783625","1.515","0.2","0.5018471484941996","0.2695417876636295","0.39426661014233066","303","0.2206848","24.517804032","0.9994803112593574"
"absurd-sweep-2","2025-06-19T11:31:13.000Z","1255","2025-06-19T11:52:08.000Z","nucilbqu","-","2025-06-19T11:52:08.000Z","","0.0001","0.4","0.01189199612685004","0.012647297233343124","1.565","0.185","0.44099457948274234","0.27433227155688983","0.33928248952437584","313","0.22199552","16.716398592","0.9958915536382816"
"royal-sweep-3","2025-06-19T11:52:10.000Z","1246","2025-06-19T12:12:56.000Z","snt1t3ze","-","2025-06-19T12:12:56.000Z","","0.0001","0.5","0.024527486831862098","0.02503897063434124","1.615","0.1","0.4292179076364654","0.2353320746894177","0.3238998885146431","323","0.220946944","24.59959296","0.978238765343418"
"feasible-sweep-4","2025-06-19T12:12:59.000Z","1245","2025-06-19T12:33:44.000Z","65iea09c","-","2025-06-19T12:33:44.000Z","","0.00001","0.3","0.0577833105106743","0.05249831452965736","1.575","0.115","0.26785924012330775","0.28637945235078893","0.21129844775702772","315","0.22199552","16.812867584","0.9140620340538866"
"stilted-sweep-5","2025-06-19T12:33:47.000Z","1244","2025-06-19T12:54:31.000Z","62invp02","-","2025-06-19T12:54:31.000Z","","0.00001","0.4","0.10109280734037866","0.09930115938186646","1.57","0.085","0.23947736741883227","0.2781272062083822","0.18753142967908687","314","0.220946944","20.445134848","0.8101945241016315"
"legendary-sweep-6","2025-06-19T12:54:36.000Z","1271","2025-06-19T13:15:47.000Z","im5g1408","-","2025-06-19T13:15:47.000Z","","0.00001","0.5","0.17019784237657273","0.16754081845283508","1.505","0.1","0.2252911535979484","0.2879620362598016","0.1847425372399064","301","0.221733376","12.417236992","0.9305553739877734"
