"Name","Created","Runtime","End Time","ID","Notes","Updated","Tags","accumulation_steps","batch_size","epochs","learning_rate","margin","projection_dim","avg_train_loss","batch","batch_loss","epoch","gpu_memory_allocated","gpu_memory_reserved","total_parameters","val_ndcg_10"
"trim-sweep-5","2025-06-17T16:43:06.000Z","544","2025-06-17T16:52:10.000Z","eaedsiq4","-","2025-06-17T16:52:10.000Z","","4","512","16","0.0001","1","256","0.2530487862472631","91","0.2599424123764038","16","0.205332992","7.7594624","45755136","0.9028023880026788"
"gallant-sweep-4","2025-06-17T16:36:07.000Z","414","2025-06-17T16:43:01.000Z","ngcusxsz","-","2025-06-17T16:43:01.000Z","","4","512","12","0.0001","1","256","0.2805997254897137","91","0.2978544235229492","12","0.205332992","7.7594624","45755136","0.9820383756672184"
"polar-sweep-3","2025-06-17T16:31:29.000Z","273","2025-06-17T16:36:02.000Z","ercm7w2g","-","2025-06-17T16:36:02.000Z","","4","256","8","0.001","0.5","128","0.019950838341396684","191","0.028558753430843353","8","0.201589248","7.755268096","45558016","0.992529145332606"
"smart-sweep-2","2025-06-17T16:24:33.000Z","410","2025-06-17T16:31:23.000Z","zf9us14z","-","2025-06-17T16:31:23.000Z","","2","512","12","0.001","1","128","0.1879696953965693","91","0.19378502666950223","12","0.201785856","7.755268096","45558016","0.9407615543242958"
"spring-sweep-1","2025-06-17T16:17:37.000Z","409","2025-06-17T16:24:26.000Z","udddszha","-","2025-06-17T16:24:26.000Z","","4","256","12","0.0001","0.3","256","0.00625523978402382","191","0.004619435407221317","12","0.204415488","2.13909504","45755136","0.9844749767785276"
